SLogP,FilterItLogS,C2SP2,VSA_EState2,PEOE_VSA6,n6HRing,NaasC,nAcid,nAromAtom,AETA_beta,BCUTZ-1l,nO,NdssC,nBondsD,SdssC,C1SP2,n6aHRing,C3SP2,IC1,AMID_C
1.7062,-4.3939313270885405,8,28.38357553874184,18.199101205384828,2,2,0,16,1.2096774193548387,5.654951332504621,3,0,2,0.0,2,1,2,3.327248427723891,1.5302615149878136
3.8882000000000017,-6.22683053093032,11,18.586321761614247,12.13273413692322,2,5,0,16,1.1666666666666667,0.996152283148193,3,0,1,0.0,1,1,3,3.7877418771625138,1.3542020116293512
4.525700000000004,-6.4081464000406525,11,19.064980269568046,12.13273413692322,2,5,0,16,1.2234848484848484,0.9975757854847926,2,0,1,0.0,1,1,3,3.6943879504122776,1.403592946876765
3.888200000000003,-6.2292163700298175,11,18.452313992987968,12.13273413692322,2,5,0,16,1.1452702702702702,0.9953410129442408,3,0,1,0.0,1,1,3,3.7877418771625138,1.3187724595730648
4.442400000000005,-6.3279588560559406,11,30.028089500670113,12.13273413692322,2,5,0,16,1.2321428571428572,0.9975754787742694,3,1,2,-0.0184359990797296,2,1,3,3.784730354297527,1.3824572257317589
2.8044,-5.424079844865603,7,19.963937650022853,6.06636706846161,2,7,0,22,1.3257575757575757,5.69174578069223,1,0,0,0.0,3,1,2,4.12943495566685,1.396942558455862
3.2752000000000017,-6.115814214012738,12,4.675602351076712,24.284774350590983,2,8,0,12,1.0520833333333333,5.682751728668038,6,2,4,1.51157636845678,2,0,4,3.7826839989242695,1.7122976329337387
-2.9960000000000004,-0.21637537218325506,0,0.0,0.0,0,0,1,0,0.0,17.0,0,0,0,0.0,0,0,0,-0.0,0.0
3.6123000000000016,-3.5565463993648576,12,0.6203703703703702,41.25888165735808,0,2,0,12,1.5166666666666666,5.6994679408266435,1,0,1,0.0,0,0,0,1.9863137138648348,1.6309004013518542
1.3365,-1.6474231945083695,0,8.910879629629632,0.0,0,0,0,0,0.7916666666666666,5.98902597150566,2,0,1,0.0,0,0,0,2.521640636343318,0.3227445042643613
1.5525999999999995,-3.451794761673726,7,17.138074415563594,0.0,2,2,0,10,1.3157894736842106,5.673776248796744,2,0,1,0.0,1,1,1,3.371082575453192,1.4413610857239176
4.8618,-5.476098173351177,6,9.75562358276644,58.00469945116258,0,6,0,6,1.3928571428571428,5.698819775023191,2,0,1,0.0,0,0,0,2.148834854280917,0.8989443939578906
3.901200000000002,-4.400773680950914,10,10.933526077097506,36.398202410769656,0,1,0,14,1.5441176470588236,5.638589925382723,2,0,1,0.0,0,0,4,2.1981839479117986,1.7491959596720683
2.656200000000001,-3.1864843024342298,8,20.119895597127734,18.199101205384828,0,2,0,10,1.5,5.6547914819278535,4,0,2,0.0,0,0,2,2.59490661824394,1.3232383703558723
4.2084,-4.720403385408983,6,9.71414210128496,46.40375956093006,0,5,0,6,1.4038461538461535,5.698995416192818,2,0,1,0.0,0,0,0,2.6644977792004614,0.9612979896430028
3.5550000000000006,-3.95736985380769,6,9.684172965482489,34.802819670697545,0,4,0,6,1.4166666666666667,5.699167513572736,2,0,1,0.0,0,0,0,2.8423709931771084,1.0332482841121635
3.3218000000000023,-4.306246387784263,11,24.69300564099914,12.13273413692322,0,4,0,12,1.2980769230769231,5.693289330839559,3,2,3,-0.23976731124548525,1,0,1,3.53318417540631,1.4385698838023444
4.853000000000003,-6.837310093862,14,22.368876550963908,0.0,1,8,0,23,1.5555555555555556,5.6899231964889125,2,0,1,0.0,3,1,3,3.1970851333950883,1.565810930448987
3.3960000000000026,-5.443248676155728,11,22.241387682246245,12.13273413692322,0,4,0,12,1.2407407407407407,5.6931249610237495,5,0,2,0.0,0,0,1,3.3466220961283324,1.371985529045208
3.5154000000000023,-5.146458247248745,11,32.29652019095178,12.13273413692322,0,4,0,12,1.2416666666666667,5.693124913084831,6,1,3,-2.030822973256233,1,0,1,3.63758614079259,1.24684424381238
2.9500800000000016,-4.850840512873021,11,22.277944223995103,12.13273413692322,0,4,0,12,1.351851851851852,5.6931249337839605,5,0,2,0.0,0,0,1,3.464757964132484,1.371985529045208
2.4324000000000003,-4.58605759504762,10,37.108492017603204,24.26546827384644,1,4,0,12,1.25,5.693065776076827,5,1,3,0.022103667824058704,1,0,2,3.2623741775941766,1.4317816603560376
1.4998999999999991,-4.191935445363942,10,27.261824364140658,24.26546827384644,1,4,2,17,1.2822580645161292,5.693002722147979,3,1,2,0.12980685712447038,1,0,2,3.5059627911222826,1.4096499065674848
2.1945999999999994,-4.900893265361424,8,38.72272184141315,24.26546827384644,1,5,0,12,1.225,5.683693691074537,5,2,3,-0.2056156528716413,2,0,4,3.4323073057819404,1.5356990441728875
2.905800000000001,-5.053623931163557,10,25.48936770138361,24.26546827384644,1,4,0,12,1.2142857142857142,5.693120681148264,4,0,2,0.0,0,0,2,2.9790978911348045,1.4813832039149128
2.8692800000000016,-5.147938859820053,9,15.285098537045947,24.26546827384644,1,4,0,12,1.2592592592592593,5.687545072083519,2,0,1,0.0,0,0,3,3.0545866163964583,1.6052475506251207
4.335000000000004,-7.207436012815332,12,27.26478730121468,48.53093654769288,1,7,0,18,1.2571428571428571,5.6707279914499615,4,1,2,-0.2315601440728188,1,0,6,3.184598505552562,1.6806457931254957
3.652600000000003,-6.083385723495326,9,19.56318317088639,24.26546827384644,1,5,0,17,1.2583333333333333,5.688721117706223,3,0,1,0.0,3,0,3,3.2586217800361656,1.5946131311953284
1.9733,-4.660535082693522,10,15.367458409599081,24.26546827384644,1,4,2,17,1.25,5.693061159817793,2,0,1,0.0,0,0,2,3.2351942586645186,1.4552402637569963
3.1367000000000016,-5.346061651602317,10,15.207236552122849,24.26546827384644,1,4,0,12,1.1923076923076923,5.6931249028143025,2,0,1,0.0,0,0,2,2.9736606896881854,1.5882486208562292
2.668000000000001,-5.368964993032208,8,26.84067117409759,24.26546827384644,1,5,0,12,1.1896551724137931,5.683734533604871,4,1,2,-0.21166867821648605,1,0,4,3.187734142140163,1.5872480646331932
2.5338000000000007,-5.344895784575116,10,15.319505127066662,18.199101205384828,1,3,0,15,1.2410714285714286,5.68902200359238,3,0,1,0.0,0,0,2,3.1466852652433905,1.4946072818647096
2.8692800000000016,-5.147938859820053,9,15.267194894827757,24.26546827384644,1,4,0,12,1.2592592592592593,5.68732691727414,2,0,1,0.0,0,0,3,3.0545866163964583,1.6052180923617156
1.0424999999999998,-3.1128179368933377,5,12.561379640431314,12.13273413692322,1,2,0,6,1.1176470588235294,5.693124995416862,2,0,1,0.0,0,0,1,3.0101337093947307,1.4510817492081962
2.714100000000001,-5.10175866247371,11,20.22029834707152,12.13273413692322,0,4,0,12,1.3125,5.693125752774612,5,0,2,0.0,0,0,1,3.357552004618084,1.3795678350758862
3.5550000000000006,-3.95736985380769,6,9.684172965482489,34.802819670697545,0,4,0,6,1.4166666666666667,5.699166704511742,2,0,1,0.0,0,0,0,2.8423709931771084,1.0338207388873604
1.3002999999999991,-5.1424452898130335,10,42.97630057994186,0.0,4,6,0,12,1.1928571428571428,5.6976138529396225,6,2,3,-0.4058689331665624,3,1,0,3.833525801426792,1.3921382159729496
2.901600000000001,-3.1852445274802514,6,9.661265432098766,29.268246848926644,0,3,0,6,1.431818181818182,5.6993373854462295,2,0,1,0.0,0,0,0,2.8423709931771084,1.1191576016036089
4.730700000000004,-6.8640345552934825,13,31.39907591235837,18.208754243757106,2,5,0,16,1.19375,5.6704004663901815,3,1,3,-0.030276372511012683,2,1,3,3.850182938968124,1.4747825979143692
4.348100000000004,-6.042412311198834,11,33.365045499669854,12.13273413692322,3,5,0,16,1.205128205128205,5.6704004685214695,4,1,2,-0.01212822436286376,1,1,3,3.7340218164617545,1.4074045429024116
3.261800000000002,-3.5636453678317195,10,10.441836262282694,42.46456947923127,0,3,0,12,1.5166666666666666,5.6771217571269705,2,0,1,0.0,0,0,2,2.1241854163060894,1.6576983444833315
2.333600000000001,-2.814482139689789,5,9.89473765432099,18.199101205384828,0,2,0,6,1.318181818181818,5.69368996633973,2,0,1,0.0,0,0,1,3.0286393118385746,1.294887555648196
3.3384000000000014,-3.6177975899912993,12,10.379976694381458,30.33183534230805,0,3,0,12,1.515625,5.697542209947263,2,0,1,0.0,0,0,0,2.3229959670593576,1.5500375099688983
2.4097,-2.48339404667379,6,29.850215436776953,0.0,2,4,0,11,1.171875,5.69892232463361,6,1,2,-0.5368146727877965,2,0,0,3.8271607439940287,1.1882365772566927
2.667700000000001,-3.2438563544777312,5,13.793855044178386,12.13273413692322,1,4,0,11,1.21,5.694306899856721,5,0,1,0.0,2,0,1,3.965777353980207,1.1866290255503622
4.6307000000000045,-5.4406106547343756,13,17.255574906802615,30.33183534230805,3,4,0,18,1.25,5.694129929401938,3,1,1,0.032860573322179835,3,1,2,3.265166056616053,1.71710243130082
2.3111000000000006,-5.069756456354393,10,30.030203865243372,17.907235706172898,3,4,0,22,1.46875,5.647594349243812,3,1,2,-0.3722739996636586,6,3,4,3.8312723801129103,1.630750690539936
5.776500000000005,-7.179548335151376,13,15.361991186694679,12.13273413692322,2,6,0,23,1.2439024390243902,5.6918180157332685,2,1,1,-0.13176387380962362,5,1,4,3.7346788004586062,1.5810581709317797
0.8466799999999999,-1.943808320259203,7,0.09953703703703676,30.33183534230805,0,3,0,11,1.6071428571428572,5.6914462380472814,2,0,0,0.0,0,0,1,3.025860095081815,1.3287842708058013
4.696900000000003,-6.174210944381628,17,4.774077757146633,30.34148838068032,1,6,0,18,1.4479166666666667,5.6877196139935124,1,0,1,0.0,1,1,1,2.5844461671292724,1.6407061826144331
4.836000000000003,-6.592672682427787,17,4.559306968538364,12.13273413692322,1,7,0,18,1.44,5.687190761959528,1,0,1,0.0,1,1,1,2.707208154331893,1.5782312059943728
4.557800000000004,-5.754417968784575,17,5.719729684584276,36.407855449141934,1,5,0,18,1.4565217391304348,5.687719618558156,1,0,1,0.0,1,1,1,2.4146240346927157,1.7082373872032526
4.696900000000003,-6.174210944381628,17,5.504958895976004,18.199101205384828,1,6,0,18,1.4479166666666667,5.6871907656377765,1,0,1,0.0,1,1,1,2.5844461671292724,1.6403454269604445
4.6448000000000045,-7.279623728731129,12,12.108142641962235,59.706791021078175,2,5,0,20,1.2338709677419355,5.6752066210443095,1,0,0,0.0,2,0,3,3.6467635264480376,1.7212298009338167
1.7017999999999998,-3.7359078181073575,7,10.805133622523597,31.18920547353705,0,2,1,10,1.2941176470588236,5.653516166738832,3,1,1,-1.0575354833291335,1,0,3,3.1511894468399486,1.6942033253987092
4.467300000000003,-7.067522258603938,14,15.395210083007393,55.78024963192182,1,7,1,18,1.3611111111111112,5.672201648317858,3,1,1,-1.3073681109521658,1,1,3,3.3121972949071967,1.6825709688055686
4.060800000000003,-7.675708589826478,15,15.022623920766542,35.334613917388246,1,8,1,18,1.4166666666666667,5.692549299593482,3,1,1,-1.3494155999601822,1,1,2,3.545461844238322,1.5490120323242638
0.3798,-0.20109723127684187,0,1.7129629629629632,4.320534085558971,0,0,1,0,0.7083333333333334,5.967003640078168,0,1,1,0.5092592592592595,0,0,0,2.1258145836939097,0.8769704900102042
0.914,-0.5627061286875759,0,2.074074074074074,4.320534085558971,0,0,1,0,0.71875,5.838814635113758,0,1,1,0.6412037037037042,0,0,0,2.25,1.237219250297949
0.2258,-0.7141761240022739,3,0.0,6.06636706846161,1,1,1,6,1.46875,5.734293976487344,1,0,0,0.0,2,1,0,2.5220552088742005,1.2457452620128997
4.4967000000000015,-4.662687854372601,8,13.808573318216176,58.394513377180616,1,1,0,10,1.25,5.652375161522219,2,2,2,0.550731240026875,2,0,3,3.2105898459737485,1.7711433129021843
4.036300000000003,-4.716984299718673,10,2.3523828420257,36.407855449141934,0,6,0,12,1.2282608695652173,5.681635871283505,2,0,1,0.0,1,0,3,3.4420016725520517,1.7118807897164718
4.014800000000002,-5.6571527706176425,11,15.822730248303495,30.33183534230805,1,3,0,16,1.4886363636363635,5.655619955804213,2,1,1,-0.22864942890736506,3,1,2,3.3801607041200046,1.6124370075267889
8.053900000000002,-8.79956332460999,12,0.0,0.0,0,8,0,12,1.368421052631579,5.699339359679005,1,0,0,0.0,0,0,0,2.392277173072062,1.3191823083114709
3.3939800000000018,-6.3962566613762375,7,16.584134627978234,18.199101205384828,1,6,0,12,1.2241379310344829,5.683734526987384,2,1,1,-0.19811450335740144,1,0,5,3.2686211613347864,1.6542124931117244
5.862100000000006,-7.179092786231643,15,18.870786564625853,88.7263487194887,1,4,0,18,1.1689189189189189,5.68389270392331,2,1,1,0.3294754529898383,1,0,3,3.1094475194937874,1.8127863499369747
5.939400000000006,-7.156434552254537,15,16.504468799865627,88.7263487194887,1,4,0,18,1.1857142857142855,5.687623645186022,2,1,1,0.1491225618333749,1,0,3,3.187839858192965,1.7928042598984546
4.116100000000002,-4.4109659349270975,10,0.0,58.394513377180616,0,3,0,12,1.5,5.677789815456404,0,0,0,0.0,0,0,2,1.7749475265481327,1.899339794846902
4.2924000000000015,-5.302230337140928,9,16.261233101520904,28.06267803487257,0,5,0,16,1.4021739130434785,5.692143167637771,2,2,2,-0.2358376900142771,3,0,1,3.725916088924304,1.3590789167698962
5.894600000000005,-5.274776059455872,12,17.839379973439993,46.97068834918621,1,3,0,12,1.1696428571428572,5.699547798198522,1,1,1,-0.04829737759301223,0,0,0,3.0640142960531374,1.6997060854534227
5.572300000000005,-5.665421370226593,11,17.87376518277064,59.103422486109416,1,3,0,12,1.1293103448275863,5.694859428203722,1,1,1,-0.004174172755521789,0,0,1,3.1198127624459797,1.7106903215182665
5.2249000000000025,-6.427695894276559,13,21.750965048523145,46.2617792402574,2,4,0,18,1.2983870967741935,5.694859400451382,1,1,1,-0.04281549605864177,2,1,2,3.4051330558744923,1.6685206738022125
4.619900000000003,-6.205684092177641,12,17.591135842097014,46.2617792402574,2,4,0,18,1.2983870967741935,5.694859406817075,1,1,1,-0.052815496058641775,2,1,2,3.4408804125268166,1.603789681916011
3.900100000000003,-6.7297580939107,13,32.02417270341301,52.328146308719006,1,5,0,18,1.3706896551724137,5.687949568845801,2,2,2,-0.284664422453248,3,1,3,3.477469389664854,1.6562054201695338
3.4730000000000025,-3.8270184559536737,6,19.67062097344295,15.929943897949347,2,2,0,6,1.0,5.6996081881258025,1,1,1,0.01809941865226894,0,0,0,2.950621814039005,1.5772498397482666
7.291400000000002,-7.901889100455008,12,0.0,15.929943897949347,0,7,0,12,1.3888888888888888,5.699371634438312,1,0,0,0.0,0,0,0,2.4175375257201757,1.3875837436853031
6.528900000000003,-6.992116165936265,12,0.0,31.85988779589869,0,6,0,12,1.4117647058823528,5.699405440840204,1,0,0,0.0,0,0,0,2.392277173072062,1.4640332290398208
5.419900000000004,-6.337766130569057,12,3.630257700302344,34.12904510333418,0,4,0,15,1.3333333333333333,5.675090073986684,0,0,0,0.0,0,0,2,3.3097305541171838,1.8163586839958918
3.678600000000003,-6.410781529092916,13,27.35085021689116,21.99631096641096,2,5,0,16,1.25,5.6738025244188774,5,1,2,-0.353521801537674,1,1,2,3.711811155744156,1.5713220342814602
3.561980000000002,-5.742876175313046,10,19.08066018856017,21.99631096641096,0,7,0,17,1.3548387096774193,5.687285552098556,2,1,1,0.1049695357685978,2,0,3,3.979907492726384,1.5677526927177308
2.1545999999999994,-5.948787662314516,10,32.66752640685996,15.929943897949347,4,6,0,12,1.1666666666666667,5.698811132446388,4,2,2,-0.1817824533915191,3,1,0,3.748237901831304,1.4711220876510342
1.4803999999999993,-2.8766631344064217,6,11.400812547241118,21.0866071550748,1,4,0,11,1.4166666666666667,5.698684553012887,3,0,1,0.0,1,0,0,3.746439344671016,1.2801200953086274
4.116100000000002,-4.4109659349270975,10,0.0,58.394513377180616,0,3,0,12,1.5,5.677786526607461,0,0,0,0.0,0,0,2,1.7749475265481327,1.8990885520741967
3.792100000000002,-5.40243339159964,12,8.681084551104393,28.06267803487257,2,3,0,16,1.5789473684210529,5.6564128813845596,0,0,0,0.0,1,2,1,2.7170218858797184,1.7584285603697667
4.116100000000002,-4.4109659349270975,10,0.0,64.46088044564222,0,3,0,12,1.5,5.677774535317898,0,0,0,0.0,0,0,2,1.7749475265481327,1.8982092023697312
3.7334000000000014,-5.299395822029041,8,16.060264169711097,18.199101205384828,1,4,0,12,1.4125,5.694399822741058,1,2,2,-0.0780466322331399,3,1,1,3.3696617034472216,1.3422546716409736
2.2696999999999994,-3.4499070505377123,3,13.680640169648106,0.0,2,2,0,9,1.1842105263157894,5.729915014013171,1,0,0,0.0,2,1,0,3.26082412549051,1.4514017125528893
